气缸类型,适用机构,料品名称,料号,型号,缸径(mm),行程(mm),品牌
标准气缸,保压/顶升,标准气缸,RAAA-03349,SC32*300SCB,32.0,300.0,亚德客
标准气缸,保压/顶升,标准气缸,RAAA-00627,SC32*500SFA,32.0,500.0,亚德客
标准气缸,保压/顶升,标准气缸,RAAA-01641,SC50*300S,50.0,300.0,亚德客
标准气缸,保压/顶升,标准气缸,RAAA-02030,SC63*350S,63.0,350.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00033,HLS8*10SA,8.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00276,HLS8*10SAS,8.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00553,HLSL8*10SA,8.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00556,HLSL8*10SAS,8.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00035,HLS8*30SA,8.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00333,HLS8*30SAS,8.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00517,HLSL8*30SA,8.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00437,HLSL8*30SAS,8.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00451,HLS12*10SA,12.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00861,HLS12*10SAS,12.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00749,HLSL12*10SA,12.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-01103,HLSL12*10SAS,12.0,10.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00049,HLS12*20SA,12.0,20.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00041,HLS12*30SA,12.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00378,HLS12*30SAS,12.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00518,HLSL12*30SA,12.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00436,HLSL12*30SAS,12.0,30.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00050,HLS12*40SA,12.0,40.0,亚德客
滑台气缸,平移/推料,气缸,RAAB-00337,HLS12*40SAS,12.0,40.0,亚德客
滑台气缸,平移/推料,滑台气缸,RAAB-00505,HLSL12*40SA,12.0,40.0,亚德客
摆动气缸（旋转气缸）,旋转,回转气缸,RAAD-00002,HRQ10A,,,亚德客
摆动气缸（旋转气缸）,旋转,回转气缸,RAAD-00007,HRQ20A,,,亚德客
摆动气缸（旋转气缸）,旋转,回转气缸,RAAD-00004,HRQ30A,,,亚德客
夹爪气缸（气动手指）,夹持,气动手指,RAAE-00007,HFZ16,,,亚德客
无杆气缸,平移,无杆气缸,RAAF-00204,RMS20*100LB,20.0,100.0,亚德客
无杆气缸,平移,无杆气缸,RAAF-00134,RMS20*150LB,20.0,150.0,亚德客
无杆气缸,平移,无杆气缸,RAAF-00113,RMS20*200LB,20.0,200.0,亚德客
无杆气缸,平移,无杆气缸,RAAF-00084,RMS20*250LB,20.0,250.0,亚德客
无杆气缸,平移,无杆气缸,RAAF-00281,RMS20*300LB,20.0,300.0,亚德客
无杆气缸,平移,无杆气缸,RAAF-00185,RMS20*350LB,20.0,350.0,亚德客
无杆气缸,平移,无杆气缸,RAAA-01204,RMT20*100S,20.0,100.0,亚德客
无杆气缸,平移,磁耦合无杆气缸,RAAF-00093,RMT20*200SA,20.0,200.0,亚德客
无杆气缸,平移,无杆气缸,RAAF-98956,RMT20*300SA,20.0,300.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAA-00717,PB10*10SU,10.0,10.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAA-02918,PB16*50SU,16.0,50.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAA-00723,PB16*100SU,16.0,100.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAA-01805,PB16*150SU,16.0,150.0,亚德客
迷你气缸,顶升/推料,气缸,RAAA-01798,PB16*200SU,16.0,200.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAA-00716,PB16*20SU,16.0,20.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAH-00092,PB10*20SU,10.0,20.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAH-00093,PB10*100SU,10.0,100.0,亚德客
迷你气缸,顶升/推料,迷你气缸,RAAH-00094,PB10*50SU,10.0,50.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00405,MD10*10S,10.0,10.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00425,MD10*15S,10.0,15.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00415,MD10*20S,10.0,20.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-01378,MD10*25S,10.0,25.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00428,MD10*30S,10.0,30.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00446,MD10*40S,10.0,40.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00388,MD10*5S,10.0,5.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00413,MD16*10S,16.0,10.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00401,MD16*15S,16.0,15.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00419,MD16*20S,16.0,20.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00443,MD16*25S,16.0,25.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00407,MD16*30S,16.0,30.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00434,MD16*50S,16.0,50.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00456,MD20*10S,20.0,10.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00454,MD20*15S,20.0,15.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00393,MD20*20S,20.0,20.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00412,MD20*25S,20.0,25.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00452,MD20*30S,20.0,30.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-01981,MD20*40S,20.0,40.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00421,MD20*50S,20.0,50.0,亚德客
自由安装气缸（多位置固定气缸）,挡停/顶升/推料,多位置固定气缸,RAAA-00403,MD20*60S,20.0,60.0,亚德客
